Timestamp;(left_eye_origin.x,left_eye_origin.y,left_eye_origin.z);(left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z);(right_eye_origin.x,right_eye_origin.y,right_eye_origin.z);(right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z);(combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z);(combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z);(Camera_position.x,Camera_position.y,Camera_position.z);(Camera_rotation.x,Camera_rotation.y,Camera_rotation.z,Camera_rotation.w);(hitpoint.x,hitpoint.y,hitpoint.z);hitpoint_name;messages;
0.30025;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.659, 0.888, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;StartTrial207stim0;
0.32293;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.658, 0.887, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.201, 4.000);Walls;
0.33306;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.658, 0.887, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.201, 4.000);Walls;
0.33554;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.659, 0.887, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.201, 4.000);Walls;
0.34405;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.658, 0.887, 1.435);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.201, 4.000);Walls;
0.35264;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.658, 0.888, 1.435);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
0.36153;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.658, 0.888, 1.435);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
0.36956;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.659, 0.887, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.201, 4.000);Walls;
0.37878;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.659, 0.887, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
0.38647;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.659, 0.888, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
0.39509;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.659, 0.888, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
0.40380;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.659, 0.888, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
0.41239;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.659, 0.888, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
0.42042;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.658, 0.888, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
0.42930;(-0.03100, 0.00000, -0.02600);(0.24300, 0.00000, 0.97003);(0.02900, 0.00000, -0.02600);(-0.24300, 0.00000, 0.97003);(-0.00100, 0.00000, -0.02600);(0.00000, 0.00000, 0.97003);(-0.658, 0.888, 1.436);(-0.060, -0.133, 0.008, 0.989);(-1.368, 1.202, 4.000);Walls;
